Tintle,Abstract,Matched Search Term 1,Matched Search Term 2,Matched Search Term 4
" ""Discourse Mode Categorization of {B}engali Social Media Health Text"","," ""the scarcity of annotated data is a major impediment to natural language processing (nlp) research in bengali, a language that is considered low-resource. in particular, the health and medical domains suffer from a severe paucity of annotated data. thus, this study aims to introduce banglasocialhealth, an annotated social media health corpus that provides sentence-level annotations of four distinct types of expression modes, namely narrative (nar), informative (inf), suggestive (sug), and inquiring (inq) modes in bengali. we provide details regarding the annotation procedures and report various statistics, such as the median and mean length of words in different sentence modes. additionally, we apply classical machine learning (cml) classifiers and transformer-based language models to classify sentence modes. we find that most of the statistical properties are similar in different types of sentence modes. to determine the sentence mode, the transformer-based m-bert model provides slightly better efficacy than the cml classifiers. our developed corpus and analysis represent a much-needed contribution to bengali nlp research in medical and health domains and have the potential to facilitate a range of downstream tasks, including question-answering, misinformation detection, and information retrieval."",",medical domain,natural language process,annotat
" ""{YNU}-{HPCC} at {S}em{E}val-2023 Task7: Multi-evidence Natural Language Inference for Clinical Trial Data Based a {B}io{BERT} Model"","," ""this paper describes the system for the ynu-hpcc team in subtask 1 of the semeval-2023 task 7: multi-evidence natural language inference for clinical trial data (nli4ct). this task requires judging the textual entailment relationship between the given ctr and the statement annotated by the expert annotator. this system is based on the fine-tuned bi-directional encoder representation from transformers for biomedical text mining (biobert) model with supervised contrastive learning and back translation. supervised contrastive learning is to enhance the classification, and back translation is to enhance the training data. our system achieved relatively good results on the competition{'}s official leaderboard. the code of this paper is available at \url{https://github.com/facanhe/semeval-2023-task7}."",",medical text,natural languag,annotat
" ""Using Membership Inference Attacks to Evaluate Privacy-Preserving Language Modeling Fails for Pseudonymizing Data"","," ""large pre-trained language models dominate the current state-of-the-art for many natural language processing applications, including the field of clinical nlp. several studies have found that these can be susceptible to privacy attacks that are unacceptable in the clinical domain where personally identifiable information (pii) must not be exposed. however, there is no consensus regarding how to quantify the privacy risks of different models. one prominent suggestion is to quantify these risks using membership inference attacks. in this study, we show that a state-of-the-art membership inference attack on a clinical bert model fails to detect the privacy benefits from pseudonymizing data. this suggests that such attacks may be inadequate for evaluating token-level privacy preservation of piis."",",clinical domain,natural language process,evalu
" ""{D}anish Clinical Named Entity Recognition and Relation Extraction"","," ""electronic health records contain important information regarding the patients{'} medical history but much of this information is stored in unstructured narrative text. this paper presents the first danish clinical named entity recognition and relation extraction dataset for extraction of six types of clinical events, six types of attributes, and three types of relations. the dataset contains 11,607 paragraphs from danish electronic health records containing 54,631 clinical events, 41,954 attributes, and 14,604 relations. we detail the methodology of developing the annotation scheme, and train a transformer-based architecture on the developed dataset with macro f1 performance of 60.05{\%}, 44.85{\%}, and 70.64{\%} for clinical events, attributes, and relations, respectively."",",electronic health record,relation extract,annotat
" ""Proceedings of the The Sixth Workshop on Technologies for Machine Translation of Low-Resource Languages (LoResMT 2023)"","," ""entity standardization maps noisy mentions from free-form text to standard entities in a knowledge base. the unique challenge of this task relative to other entity-related tasks is the lack of surrounding context and numerous variations in the surface form of the mentions, especially when it comes to generalization across domains where labeled data is scarce. previous research mostly focuses on developing models either heavily relying on context, or dedicated solely to a specific domain. in contrast, we propose cosines, a generic and adaptable framework with contrastive siamese network for entity standardization that effectively adapts a pretrained language model to capture the syntax and semantics of the entities in a new domain. we construct a new dataset in the technology domain, which contains 640 technical stack entities and 6,412 mentions collected from industrial content management systems. we demonstrate that cosines yields higher accuracy and faster runtime than baselines derived from leading methods in this domain. cosines also achieves competitive performance in four standard datasets from the chemistry, medicine, and biomedical domains, demonstrating its cross-domain applicability. code and data is available at \url{https://github.com/konveyor/tackle-container-advisor/tree/main/entity_standardizer/cosines}"",",medical domain,semant,challeng
" ""An Investigation of Evaluation Methods in Automatic Medical Note Generation"","," ""recent studies on automatic note generation have shown that doctors can save significant amounts of time when using automatic clinical note generation (knoll et al., 2022). summarization models have been used for this task to generate clinical notes as summaries of doctor-patient conversations (krishna et al., 2021; cai et al., 2022). however, assessing which model would best serve clinicians in their daily practice is still a challenging task due to the large set of possible correct summaries, and the potential limitations of automatic evaluation metrics. in this paper we study evaluation methods and metrics for the automatic generation of clinical notes from medical conversation. in particular, we propose new task-specific metrics and we compare them to sota evaluation metrics in text summarization and generation, including: (i) knowledge-graph embedding-based metrics, (ii) customized model-based metrics with domain-specific weights, (iii) domain-adapted/fine-tuned metrics, and (iv) ensemble metrics. to study the correlation between the automatic metrics and manual judgments, we evaluate automatic notes/summaries by comparing the system and reference facts and computing the factual correctness, and the hallucination and omission rates for critical medical facts. this study relied on seven datasets manually annotated by domain experts. our experiments show that automatic evaluation metrics can have substantially different behaviors on different types of clinical notes datasets. however, the results highlight one stable subset of metrics as the most correlated with human judgments with a relevant aggregation of different evaluation criteria."",",clinical not,generat,annotat
" ""A Two-Stage Decoder for Efficient {ICD} Coding"","," ""clinical notes in healthcare facilities are tagged with the international classification of diseases (icd) code; a list of classification codes for medical diagnoses and procedures. icd coding is a challenging multilabel text classification problem due to noisy clinical document inputs and long-tailed label distribution. recent automated icd coding efforts improve performance by encoding medical notes and codes with additional data and knowledge bases. however, most of them do not reflect how human coders generate the code: first, the coders select general code categories and then look for specific subcategories that are relevant to a patient{'}s condition. inspired by this, we propose a two-stage decoding mechanism to predict icd codes. our model uses the hierarchical properties of the codes to split the prediction into two steps: at first, we predict the parent code and then predict the child code based on the previous prediction. experiments on the public mimic-iii data set have shown that our model performs well in single-model settings without external data or knowledge."",",clinical not,generat,challeng
" ""Efficient Document Embeddings via Self-Contrastive Bregman Divergence Learning"","," ""learning quality document embeddings is a fundamental problem in natural language processing (nlp), information retrieval (ir), recommendation systems, and search engines. despite recent advances in the development of transformer-based models that produce sentence embeddings with self-contrastive learning, the encoding of long documents (ks of words) is still challenging with respect to both efficiency and quality considerations. therefore, we train longfomer-based document encoders using a state-of-the-art unsupervised contrastive learning method (simcse). further on, we complement the baseline method -siamese neural network- with additional convex neural networks based on functional bregman divergence aiming to enhance the quality of the output document representations. we show that overall the combination of a self-contrastive siamese network and our proposed neural bregman network outperforms the baselines in two linear classification settings on three long document topic classification tasks from the legal and biomedical domains."",",medical domain,natural language process,challeng
" ""Focus-aware Response Generation in Inquiry Conversation"","," ""inquiry conversation is a common form of conversation that aims to complete the investigation (e.g., court hearing, medical consultation and police interrogation) during which a series of focus shifts occurs. while many models have been proposed to generate a smooth response to a given conversation history, neglecting the focus can limit performance in inquiry conversation where the order of the focuses plays there a key role. in this paper, we investigate the problem of response generation in inquiry conversation by taking the focus into consideration. we propose a novel focus-aware response generation (frg) method by jointly optimizing a multi-level encoder and a set of focal decoders to generate several candidate responses that correspond to different focuses. additionally, a focus ranking module is proposed to predict the next focus and rank the candidate responses. experiments on two orthogonal inquiry conversation datasets (judicial, medical domain) demonstrate that our method generates results significantly better in automatic metrics and human evaluation compared to the state-of-the-art approaches."",",medical domain,generat,evalu
" ""Quality Analysis of Multilingual Neural Machine Translation Systems and Reference Test Translations for the {E}nglish-{R}omanian language pair in the Medical Domain"","," ""multilingual neural machine translation (mnmt) models allow to translate across multiple languages based on only one system. we study the quality of a domain-adapted mnmt model in the medical domain for english-romanian with automatic metrics and a human error typology annotation based on the multidimensional quality metrics (mqm). we further expand the mqm typology to include terminology-specific error categories. we compare the out-of-domain mnmt with the in-domain adapted mnmt on a standard test dataset of abstracts from medical publications. the in-domain mnmt model outperforms the out-of-domain mnmt in all measured automatic metrics and produces fewer errors. in addition, we perform the manual annotation over the reference test dataset to study the quality of the reference translations. we identify a high number of omissions, additions, and mistranslations in the reference dataset, and comment on the assumed accuracy of existing datasets. finally, we compare the correlation between the comet, bertscore, and chrf automatic metrics with the mqm annotated translations. comet shows a better correlation with the mqm scores compared to the other metrics."",",medical domain,translat,annotat
